id;dni;nombre;apellidos;fecha_nacimiento
1;Raton;estable wireless Plástico;Acero sensor;2022-10-31
2;AGP up Bedfordshire;Pound;Hormigon withdrawal bus;2022-10-30
3;HTTP;Inversor;wireless Canarias;2022-10-30
4;Lek;back-end Checking;Compartible solución International;2022-10-30
5;pixel Avon;Amarillo Account;Extremadura aprovechar;2022-10-30
6;Rojo Refinado;Account;Gris Factores Camiseta;2022-10-30
7;Berkshire Checking datos;Mali;deliverables Edificio;2022-10-30
8;Extramuros encriptar frictionless;Música;Comunidad circuit;2022-10-31
9;digital benchmark;Rojo por;Parafarmacia connect;2022-10-30
10;Pound;Ruanda Central back-end;International estructura Navarra;2022-10-31
